country,date,sentiment,Imports,Exports,immigrants,percPop,emigrants,kilometers,miles,ideology,rsf
Serbia,2022-02-22,,191120000.0,195730000.0,823011.0,9.42,1003962.0,919.0,571.0,1.0,61.0
Slovenia,2022-02-22,,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
South Sudan,2022-02-22,0.24,6000.0,3930000.0,882252.0,7.88,2575870.0,4615.0,2868.0,0.0,47.0
Sudan,2022-02-22,-0.0159090909090909,9180000.0,53030000.0,1379147.0,3.15,2104887.0,3950.0,2454.0,0.0,
Sweden,2022-02-22,,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
Tunisia,2022-02-22,0.0,41870000.0,386050000.0,60145.0,0.51,902268.0,2409.0,1497.0,,58.0
Turkey,2022-02-22,,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Ukraine,2022-02-22,0.2166666666666667,,,,,,,,,
United Arab Emirates,2022-02-22,,81730000.0,516970000.0,8716332.0,88.13,203214.0,3418.0,2124.0,0.0,44.0
United Kingdom,2022-02-22,0.08333333333333333,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-02-22,0.02367724867724867,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
"Venezuela, Bolivarian Republic of",2022-02-22,,,,,,,,,,
Algeria,2022-02-23,,44780000.0,410230000.0,250378.0,0.57,2022337.0,3392.0,2108.0,1.0,45.0
Argentina,2022-02-23,0.0,60950000.0,33460000.0,2281728.0,5.05,1076148.0,13402.0,8328.0,2.0,77.0
Armenia,2022-02-23,,24500000.0,130870000.0,190349.0,6.42,958190.0,1437.0,893.0,2.0,68.0
Australia,2022-02-23,-0.0007575757575757671,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Bahamas,2022-02-23,0.0,12600.0,197610.0,63583.0,16.17,53793.0,9211.0,5723.0,,
Belgium,2022-02-23,0.0,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Belize,2022-02-23,0.0,1120000.0,69180.0,62043.0,15.6,52756.0,10602.0,6588.0,,
Cambodia,2022-02-23,,26730000.0,2370000.0,79341.0,0.47,1104819.0,7775.0,4831.0,1.0,43.0
Canada,2022-02-23,-0.022280844155844165,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Chile,2022-02-23,1.0,53730000.0,11210000.0,1645015.0,8.61,643800.0,13753.0,8546.0,3.0,60.0
Czechia,2022-02-23,-0.1125,,,,,,,,,
Dominican Republic,2022-02-23,-0.05,7250000.0,360740000.0,603794.0,5.57,1608567.0,9263.0,5756.0,2.0,
Ecuador,2022-02-23,-0.05,153790000.0,4090000.0,784787.0,4.45,1127891.0,11577.0,7194.0,2.0,64.0
Estonia,2022-02-23,0.0,173870000.0,163200000.0,199277.0,15.02,206631.0,1205.0,749.0,3.0,19.0
Ethiopia,2022-02-23,0.0,6560000.0,245730000.0,1085517.0,0.94,946129.0,4449.0,2764.0,1.0,50.0
Finland,2022-02-23,-0.1625,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-02-23,,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Germany,2022-02-23,0.08124999999999999,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Honduras,2022-02-23,0.0,7930000.0,5030000.0,39195.0,0.4,985077.0,10640.0,6611.0,1.0,
India,2022-02-23,0.1263678451178451,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-02-23,,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Italy,2022-02-23,,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Japan,2022-02-23,-0.05,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kenya,2022-02-23,0.15833333333333335,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
"Korea, Republic of",2022-02-23,0.0333333333333333,,,,,,,,,
Laos,2022-02-23,,928660.0,254140.0,48731.0,0.67,1296051.0,7006.0,4353.0,0.0,
Latvia,2022-02-23,0.0,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Lebanon,2022-02-23,-0.05,4400000.0,386040000.0,1712762.0,25.09,856814.0,1661.0,1032.0,1.0,46.0
Lesotho,2022-02-23,,1320.0,6100.0,12060.0,0.56,202164.0,8677.0,5392.0,2.0,
Macedonia,2022-02-23,,21530000.0,120710000.0,,,,1055.0,656.0,2.0,68.0
Malta,2022-02-23,,17620000.0,30370000.0,114760.0,25.99,102793.0,1949.0,1211.0,2.0,61.0
Mexico,2022-02-23,,299680000.0,188570000.0,1197624.0,0.93,11185737.0,10779.0,6698.0,2.0,47.0
Nepal,2022-02-23,0.4333333333333333,31580.0,20470000.0,487564.0,1.67,2599701.0,5001.0,3107.0,2.0,62.0
Netherlands,2022-02-23,1.0,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
Nigeria,2022-02-23,0.1375,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-02-23,-0.25,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Pakistan,2022-02-23,0.05524553571428571,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
Panama,2022-02-23,0.0,4300000.0,5000000.0,313165.0,7.26,139520.0,10867.0,6752.0,2.0,
Peru,2022-02-23,,30040000.0,126540000.0,1224519.0,3.71,1519635.0,11963.0,7433.0,2.0,
Philippines,2022-02-23,0.0,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-02-23,0.0,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-02-23,-0.05,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Qatar,2022-02-23,,17410000.0,140220000.0,2226192.0,77.27,25705.0,3098.0,1925.0,0.0,49.0
Republic of Slovenia,2022-02-23,,,,,,,,,,
Russian Federation,2022-02-23,,,,,,,,,,
Saint Lucia,2022-02-23,-0.15,,,,,,,,,
Seychelles,2022-02-23,,283620.0,678930.0,13050.0,13.27,29258.0,6356.0,3949.0,3.0,83.0
Slovenia,2022-02-23,,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
Spain,2022-02-23,0.0681818181818181,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Sudan,2022-02-23,0.3375,9180000.0,53030000.0,1379147.0,3.15,2104887.0,3950.0,2454.0,0.0,
Sweden,2022-02-23,1.0,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
Switzerland,2022-02-23,0.3333333333333333,1620000000.0,212250000.0,2491249.0,28.79,713623.0,1722.0,1070.0,3.0,
"Tanzania, United Republic of",2022-02-23,-0.05,,,,,,,,,
Trinidad and Tobago,2022-02-23,0.13333333333333333,,,,,,,,,
Turkey,2022-02-23,0.0,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Uganda,2022-02-23,0.125,7370000.0,7560000.0,1720313.0,3.76,781440.0,5228.0,3249.0,1.0,
Ukraine,2022-02-23,0.3,,,,,,,,,
United Arab Emirates,2022-02-23,,81730000.0,516970000.0,8716332.0,88.13,203214.0,3418.0,2124.0,0.0,44.0
United Kingdom,2022-02-23,0.08712121212121211,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-02-23,0.15373020796407894,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
Uzbekistan,2022-02-23,,260800000.0,402820000.0,1162007.0,3.47,2027823.0,2722.0,1691.0,1.0,45.0
Zimbabwe,2022-02-23,-0.1,2420000.0,40920.0,416141.0,2.8,1243314.0,7497.0,4658.0,1.0,44.0
Angola,2022-02-24,,1390.0,21140000.0,656434.0,2.0,668066.0,6753.0,4196.0,1.0,
Argentina,2022-02-24,0.5,60950000.0,33460000.0,2281728.0,5.05,1076148.0,13402.0,8328.0,2.0,77.0
Australia,2022-02-24,-0.05,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Austria,2022-02-24,-0.25,828920000.0,904650000.0,1738183.0,19.3,600740.0,1239.0,770.0,2.0,76.0
Bangladesh,2022-02-24,-0.3,123310000.0,250570000.0,2115408.0,1.28,7401763.0,5813.0,3612.0,1.0,36.0
Belgium,2022-02-24,0.13333333333333333,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Belize,2022-02-24,0.0824074074074074,1120000.0,69180.0,62043.0,15.6,52756.0,10602.0,6588.0,,
Brazil,2022-02-24,,371310000.0,189410000.0,1079708.0,0.51,1897128.0,10687.0,6641.0,2.0,
Canada,2022-02-24,0.04,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Chile,2022-02-24,,53730000.0,11210000.0,1645015.0,8.61,643800.0,13753.0,8546.0,3.0,60.0
China,2022-02-24,0.0,10640000000.0,7990000000.0,1039675.0,0.07,10461170.0,5947.0,3695.0,0.0,25.0
Cuba,2022-02-24,,1590000.0,3490000.0,3024.0,0.03,1757300.0,9538.0,5927.0,0.0,27.0
Dominican Republic,2022-02-24,,7250000.0,360740000.0,603794.0,5.57,1608567.0,9263.0,5756.0,2.0,
Ecuador,2022-02-24,,153790000.0,4090000.0,784787.0,4.45,1127891.0,11577.0,7194.0,2.0,64.0
Finland,2022-02-24,,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-02-24,0.4291666666666667,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Gambia,2022-02-24,,,37350000.0,,,,5758.0,3578.0,1.0,69.0
Georgia,2022-02-24,0.0,199360000.0,430520000.0,79368.0,1.99,861077.0,1165.0,724.0,2.0,59.0
Germany,2022-02-24,0.06257068452380952,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Greece,2022-02-24,0.0333333333333333,448320000.0,221450000.0,1340456.0,12.86,1088507.0,1276.0,793.0,3.0,55.0
Guatemala,2022-02-24,,67270000.0,53900000.0,84311.0,0.47,1368431.0,10836.0,6733.0,2.0,
Guinea-Bissau,2022-02-24,,,,,,,,,,
Haiti,2022-02-24,,160800.0,36590000.0,18884.0,0.17,1769671.0,9389.0,5834.0,1.0,64.0
India,2022-02-24,0.05566603535353534,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-02-24,0.273015873015873,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Ireland,2022-02-24,0.2444444444444444,228730000.0,97900000.0,871256.0,17.64,734317.0,2783.0,1729.0,3.0,88.0
Israel,2022-02-24,,211520000.0,711700000.0,1953575.0,22.57,358691.0,1952.0,1213.0,3.0,59.0
Italy,2022-02-24,,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Japan,2022-02-24,,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kenya,2022-02-24,0.0,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
Latvia,2022-02-24,0.0,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Lithuania,2022-02-24,0.0,1230000000.0,553370000.0,145184.0,5.33,658057.0,905.0,562.0,2.0,84.0
Luxembourg,2022-02-24,0.0,19270000.0,15670000.0,298062.0,47.62,81757.0,1821.0,1132.0,3.0,79.0
Mali,2022-02-24,0.0,6600000.0,28210000.0,485829.0,2.4,1303511.0,4668.0,2901.0,0.0,54.0
Mauritius,2022-02-24,,772010.0,3130000.0,28893.0,2.27,182973.0,8080.0,5021.0,2.0,66.0
Mexico,2022-02-24,0.0,299680000.0,188570000.0,1197624.0,0.93,11185737.0,10779.0,6698.0,2.0,47.0
Monaco,2022-02-24,,,,,,,,,,
Morocco,2022-02-24,0.0,125600000.0,520870000.0,102358.0,0.28,3262222.0,3687.0,2291.0,0.0,
Netherlands,2022-02-24,-0.05,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
Nigeria,2022-02-24,0.07492063492063492,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-02-24,-0.25,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Pakistan,2022-02-24,-0.056250000000000015,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
"Palestine, State of",2022-02-24,0.0,,,,,,,,,
Panama,2022-02-24,0.0,4300000.0,5000000.0,313165.0,7.26,139520.0,10867.0,6752.0,2.0,
Peru,2022-02-24,,30040000.0,126540000.0,1224519.0,3.71,1519635.0,11963.0,7433.0,2.0,
Philippines,2022-02-24,0.00189393939393935,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-02-24,-0.5,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-02-24,,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Senegal,2022-02-24,,2440000.0,123960000.0,274929.0,1.64,693765.0,5608.0,3485.0,2.0,63.0
Sierra Leone,2022-02-24,-0.4,231790.0,6680000.0,53746.0,0.67,152486.0,5980.0,3716.0,2.0,71.0
Slovenia,2022-02-24,0.0,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
Somalia,2022-02-24,-0.3999999999999999,3490000.0,21610000.0,58590.0,0.37,2034221.0,5014.0,3116.0,0.0,44.0
South Africa,2022-02-24,0.0,95950000.0,21870000.0,2860495.0,4.82,914901.0,8816.0,5478.0,2.0,75.0
Spain,2022-02-24,,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Sudan,2022-02-24,,9180000.0,53030000.0,1379147.0,3.15,2104887.0,3950.0,2454.0,0.0,
Switzerland,2022-02-24,,1620000000.0,212250000.0,2491249.0,28.79,713623.0,1722.0,1070.0,3.0,
Thailand,2022-02-24,0.0,252100000.0,262990000.0,3632496.0,5.2,1086985.0,7213.0,4482.0,0.0,50.0
Trinidad and Tobago,2022-02-24,,,,,,,,,,
Turkey,2022-02-24,0.0,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Uganda,2022-02-24,0.0,7370000.0,7560000.0,1720313.0,3.76,781440.0,5228.0,3249.0,1.0,
Ukraine,2022-02-24,-0.02500000000000005,,,,,,,,,
United Kingdom,2022-02-24,0.1438333333333333,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-02-24,0.060622093955427295,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
Uruguay,2022-02-24,-0.5,1860000.0,3200000.0,108267.0,3.12,367060.0,12435.0,7727.0,3.0,72.0
"Venezuela, Bolivarian Republic of",2022-02-24,,,,,,,,,,
Zambia,2022-02-24,0.0,316900.0,461100.0,187955.0,1.02,200700.0,6848.0,4255.0,1.0,
Afghanistan,2022-02-25,,447880.0,4550000.0,144098.0,0.37,5853838.0,3411.0,2119.0,0.0,38.0
Argentina,2022-02-25,0.0375,60950000.0,33460000.0,2281728.0,5.05,1076148.0,13402.0,8328.0,2.0,77.0
Australia,2022-02-25,0.0014545454545454584,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Austria,2022-02-25,0.25,828920000.0,904650000.0,1738183.0,19.3,600740.0,1239.0,770.0,2.0,76.0
Bahamas,2022-02-25,0.25,12600.0,197610.0,63583.0,16.17,53793.0,9211.0,5723.0,,
Bangladesh,2022-02-25,0.0,123310000.0,250570000.0,2115408.0,1.28,7401763.0,5813.0,3612.0,1.0,36.0
Belgium,2022-02-25,,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Bosnia and Herzegovina,2022-02-25,,,,,,,,,,
Brazil,2022-02-25,,371310000.0,189410000.0,1079708.0,0.51,1897128.0,10687.0,6641.0,2.0,
Canada,2022-02-25,0.155,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Chile,2022-02-25,0.0625,53730000.0,11210000.0,1645015.0,8.61,643800.0,13753.0,8546.0,3.0,60.0
Colombia,2022-02-25,0.3,80770000.0,207300000.0,1905393.0,3.74,3024273.0,10754.0,6682.0,2.0,42.0
Cuba,2022-02-25,,1590000.0,3490000.0,3024.0,0.03,1757300.0,9538.0,5927.0,0.0,27.0
Cyprus,2022-02-25,0.0,32570000.0,46310000.0,190366.0,15.77,173210.0,1485.0,923.0,3.0,65.0
Czechia,2022-02-25,,,,,,,,,,
Denmark,2022-02-25,0.0,295480000.0,279840000.0,717574.0,12.39,257025.0,1703.0,1058.0,3.0,90.0
Egypt,2022-02-25,0.0,144920000.0,1910000000.0,543937.0,0.53,3610461.0,2397.0,1489.0,1.0,30.0
Ethiopia,2022-02-25,0.0,6560000.0,245730000.0,1085517.0,0.94,946129.0,4449.0,2764.0,1.0,50.0
Finland,2022-02-25,0.1047619047619047,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-02-25,-0.02763888888888885,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Germany,2022-02-25,-0.01799242424242425,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Ghana,2022-02-25,0.0,129940000.0,136990000.0,476412.0,1.53,1004324.0,5415.0,3365.0,2.0,67.0
Greece,2022-02-25,-0.4,448320000.0,221450000.0,1340456.0,12.86,1088507.0,1276.0,793.0,3.0,55.0
Hungary,2022-02-25,0.125,1520000000.0,1580000000.0,584567.0,6.05,714420.0,881.0,547.0,1.0,59.0
India,2022-02-25,0.007152777777777789,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-02-25,0.61,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
"Iran, Islamic Republic of",2022-02-25,,,,,,,,,,
Ireland,2022-02-25,0.0,228730000.0,97900000.0,871256.0,17.64,734317.0,2783.0,1729.0,3.0,88.0
Italy,2022-02-25,-0.0259259259259259,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Jamaica,2022-02-25,-0.1999999999999999,454190.0,73730.0,23629.0,0.8,1118931.0,9801.0,6090.0,2.0,
Japan,2022-02-25,0.3625,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kazakhstan,2022-02-25,-0.0625,806180000.0,424540000.0,3732073.0,19.88,4203899.0,2626.0,1632.0,1.0,48.0
Kenya,2022-02-25,-0.05,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
"Korea, Republic of",2022-02-25,,,,,,,,,,
Kuwait,2022-02-25,0.0,2020000.0,38150000.0,3110159.0,72.83,212271.0,2536.0,1576.0,1.0,
Latvia,2022-02-25,,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Malaysia,2022-02-25,0.0333333333333333,276460000.0,136390000.0,3476560.0,10.74,1860037.0,8248.0,5125.0,1.0,
Mexico,2022-02-25,0.0,299680000.0,188570000.0,1197624.0,0.93,11185737.0,10779.0,6698.0,2.0,47.0
Morocco,2022-02-25,-0.1999999999999999,125600000.0,520870000.0,102358.0,0.28,3262222.0,3687.0,2291.0,0.0,
Nepal,2022-02-25,0.06818181818181815,31580.0,20470000.0,487564.0,1.67,2599701.0,5001.0,3107.0,2.0,62.0
Netherlands,2022-02-25,0.1,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
Nigeria,2022-02-25,0.13333333333333336,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-02-25,0.0,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Pakistan,2022-02-25,0.1292410714285714,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
Philippines,2022-02-25,0.1282738095238095,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-02-25,0.07857142857142856,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Romania,2022-02-25,0.3,796060000.0,1500000000.0,705310.0,3.67,3987093.0,541.0,336.0,2.0,68.0
Saint Vincent and the Grenadines,2022-02-25,0.0,,,,,,,,,
San Marino,2022-02-25,,2680000.0,1710000.0,5543.0,16.34,2407.0,1518.0,943.0,,
Saudi Arabia,2022-02-25,,176730000.0,779550000.0,13454842.0,38.65,299268.0,2986.0,1855.0,0.0,33.0
Seychelles,2022-02-25,0.4166666666666667,283620.0,678930.0,13050.0,13.27,29258.0,6356.0,3949.0,3.0,83.0
Sierra Leone,2022-02-25,0.125,231790.0,6680000.0,53746.0,0.67,152486.0,5980.0,3716.0,2.0,71.0
Slovenia,2022-02-25,-0.0666666666666666,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
South Africa,2022-02-25,0.0,95950000.0,21870000.0,2860495.0,4.82,914901.0,8816.0,5478.0,2.0,75.0
Spain,2022-02-25,-0.15,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Sweden,2022-02-25,,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
Switzerland,2022-02-25,0.0,1620000000.0,212250000.0,2491249.0,28.79,713623.0,1722.0,1070.0,3.0,
Thailand,2022-02-25,0.0,252100000.0,262990000.0,3632496.0,5.2,1086985.0,7213.0,4482.0,0.0,50.0
Trinidad and Tobago,2022-02-25,0.0,,,,,,,,,
Turkey,2022-02-25,,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Uganda,2022-02-25,0.85,7370000.0,7560000.0,1720313.0,3.76,781440.0,5228.0,3249.0,1.0,
Ukraine,2022-02-25,0.09523809523809523,,,,,,,,,
United Arab Emirates,2022-02-25,-0.0769230769230769,81730000.0,516970000.0,8716332.0,88.13,203214.0,3418.0,2124.0,0.0,44.0
United Kingdom,2022-02-25,0.08411306042884992,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-02-25,0.036381172839506176,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
Venezuela,2022-02-25,,671980.0,5040000.0,1324193.0,4.66,5415337.0,10042.0,6240.0,1.0,37.0
"Venezuela, Bolivarian Republic of",2022-02-25,,,,,,,,,,
